episode,reward
1775,1.478759
1776,0.02203912
1777,-2.082415
1778,1.002617
1779,2.423198
1780,1.302454
1781,1.043041
1782,1
1783,1
1784,1
1785,1
1786,3.243729
1787,-14.99419
1788,5.44707
1789,1.003823
1790,1.003992
1791,1.003966
1792,0
1793,1.001262
1794,2.4709
1795,1.262139
1796,1
1797,1
1798,1
1799,1.001734
1800,1.001727
1801,3.499998
1802,0
1803,1.004459
1804,4.454632
1805,1
1806,2.715275
1807,1
1808,1
1809,4.895074
1810,-1.257597
1811,3.643629
1812,-14.96912
1813,5.479373
1814,1
1815,1
1816,1
1817,1
1818,1
1819,0.03954754
1820,-1.701981
1821,1.001402
1822,7.5
1823,1
1824,1
1825,1
1826,1
1827,1
1828,1
1829,1.968538
1830,1
1831,-0.4008064
1832,3.253685
1833,-14.97882
1834,2.181715
1835,7.5
1836,2.438568
1837,2.467223
1838,1
1839,1
1840,1
1841,1
1842,3.299649
1843,1.321137
1844,1.027889
1845,1.027609
1846,1.027333
1847,1
1848,1
1849,0.5067959
1850,1
1851,1.00021
1852,2.879708
1853,1
1854,0.2819006
1855,1
1856,1
1857,3.714635
1858,1
1859,1
1860,1
1861,1.35644
1862,0.04757073
1863,0.4321312
1864,0.9072709
1865,3.549904
1866,1
1867,1
1868,1
1869,1
1870,3.627591
1871,1
1872,6.108219
1873,1
1874,1
1875,1
1876,1
1877,-14.96777
1878,1
1879,1.02886
1880,3.519252
1881,1
1882,1.292441
1883,1
1884,1.44698
1885,0.008599196
1886,1.351235
1887,-14.5
1888,1
1889,1
1890,0
1891,1
1892,1
1893,0.2549784
1894,1
1895,1.362182
1896,2.155387
1897,1
1898,1
1899,3.941593
1900,0.04348224
1901,1.02657
1902,1
1903,1
1904,1
1905,1
1906,1
1907,1.031189
1908,1
1909,2.206127
1910,1
1911,8.499999
1912,-0.8675461
1913,1
1914,2.646191
1915,0.1535377
1916,1
1917,2.604347
1918,0.740978
1919,0.04679878
1920,1.001794
1921,2.668251
1922,6.5
1923,0.002416653
1924,1
1925,2.212597
1926,-14.98892
1927,1.321525
1928,1
1929,1
1930,2.410255
1931,1.039112
1932,1
1933,-12.7557
1934,1
1935,-1.48828
1936,0
1937,2.172636
1938,0.2253516
1939,1
1940,2.083467
1941,2.237605
1942,1.079261
1943,-0.5986801
1944,-15
1945,5.109951
1946,2.07855
1947,3.537512
1948,0.01980946
1949,1.231841
1950,0.8671424
1951,1
1952,1
1953,0
1954,1.620751
1955,1
1956,1.03333
1957,1
1958,1.75842
1959,-0.5
1960,1
1961,1
1962,1
1963,-0.001795932
1964,3.674465
1965,2.171256
1966,5.315637
1967,6.499999
1968,1
1969,0.008263258
1970,1
1971,4.811215
1972,1.033026
1973,1
1974,0.0639071
1975,1.296174
1976,1
1977,5.811553
1978,1
1979,1.340896
1980,0.02835285
1981,4.5
1982,0
1983,1.01601
1984,1
1985,0
1986,1.015877
1987,0
1988,2.319421
1989,1
1990,1
1991,-0.2088741
1992,2.293061
1993,0.0221086
1994,0
1995,1.047144
1996,1
1997,3.539263
1998,1
1999,3.440892
2000,1
2001,3.573095
2002,-1.273297
2003,1.006633
2004,1.006547
2005,1.006751
2006,2.747006
2007,1.052611
2008,0.02732021
2009,3.320899
2010,2.461854
2011,8.036991
2012,0.03065762
2013,1.037535
2014,1.304333
2015,1.22459
2016,1
2017,1.378859
2018,4.760107
2019,2.086548
2020,-9.730937
2021,1.081752
2022,2.001534
2023,0.28497
2024,2.115859
2025,2.177181
2026,1
2027,1
2028,1
2029,1.547074
2030,4.344682
2031,0
2032,-0.7819664
2033,1.699829
2034,1
2035,1.07508
2036,1
2037,2.237846
2038,1
2039,6.487716
2040,1
2041,1
2042,1
2043,1.111353
2044,2.83623
2045,3.837476
2046,1.072604
2047,0.01765937
2048,0.04134398
2049,2.408893
2050,0.05829948
2051,1.00336
2052,2.4635
2053,1
2054,0.8344293
2055,1
2056,1
2057,1
2058,1
2059,1
2060,6.499999
2061,-33.48096
2062,1
2063,0.09329632
2064,1.153077
2065,2.257996
2066,1
2067,0.263761
2068,3.247555
2069,0.008236164
2070,2.543768
2071,-14.9649
2072,1
2073,1
2074,2.194518
2075,2.037391
2076,0.04192734
2077,1
2078,0.09858914
2079,1.199337
2080,1
2081,1
2082,1
2083,1.731529
2084,5
2085,5.012173
2086,1.003353
2087,2.097571
2088,1
2089,1
2090,2.128893
2091,1
2092,1.001675
2093,2.106368
2094,1
2095,5.163906
2096,0.02206001
2097,0.02343901
2098,4.042342
2099,1.025898
2100,1
2101,1
2102,1
2103,1.847885
2104,0.02584642
2105,0.02950927
2106,1
2107,6.5
2108,1
2109,2.15896
2110,1
2111,0
2112,1
2113,4.500001
2114,4.282273
2115,4.08565
2116,1.843001
2117,0.01157884
2118,3.569174
2119,1
2120,1
2121,1
2122,1
2123,1
2124,1
2125,1
2126,1
2127,1
2128,1
2129,0.9371153
2130,1
2131,1.333007
2132,1.277618
2133,1
2134,1
2135,1
2136,1.036721
2137,1
2138,2.519971
2139,2.899513
2140,1
2141,0.02210169
